=== big_periods ===
test_name seed_costas.e seed_kociumaka.e seed_kociumaka_nlogn.e
bigperiod_500000_62_85000.in 1.0401766300201416 3.514619827270508 1.2592816352844238
bigperiod_500000_10_20000.in 1.1071653366088867 3.3848695755004883 1.0751314163208008
bigperiod_500000_7_355000.in 1.8857574462890625 1.9961488246917725 1.226853609085083
bigperiod_500000_62_233333.in 1.378833532333374 3.566843032836914 1.3377487659454346
bigperiod_500000_7_313333.in 1.9144244194030762 3.631175994873047 1.22688627243042
bigperiod_500000_2_306666.in 2.5905494689941406 4.06098484992981 1.2280259132385254
bigperiod_500000_10_280000.in 1.7838678359985352 3.7334718704223633 1.2497124671936035
bigperiod_500000_10_93333.in 1.310302495956421 3.6662168502807617 1.22711181640625
bigperiod_500000_2_40000.in 1.8164973258972168 3.572429656982422 1.1205196380615234
bigperiod_500000_26_265000.in 1.5378718376159668 3.6584737300872803 1.2470769882202148
bigperiod_500000_4_246666.in 2.0704474449157715 3.5724234580993652 1.2501842975616455
bigperiod_500000_10_75000.in 1.2887284755706787 3.543775796890259 1.2096526622772217
bigperiod_500000_4_240000.in 2.0830957889556885 3.6624913215637207 1.2644519805908203
bigperiod_500000_10_70000.in 1.2734997272491455 3.4907445907592773 1.1882140636444092
bigperiod_500000_4_80000.in 1.6081929206848145 3.52990460395813 1.2304446697235107
bigperiod_500000_62_236666.in 1.4058253765106201 3.5520975589752197 1.3179268836975098
bigperiod_500000_26_16666.in 0.9316699504852295 3.3564414978027344 1.1080448627471924
bigperiod_500000_4_380000.in 2.1320202350616455 2.0587353706359863 1.2217168807983398
bigperiod_500000_4_126666.in 1.7360055446624756 3.850128173828125 1.2336771488189697
bigperiod_500000_62_425000.in 1.474468469619751 1.776371717453003 1.2644197940826416
bigperiod_500000_10_73333.in 1.286679983139038 3.522585153579712 1.1894445419311523
bigperiod_500000_4_50000.in 1.515733003616333 3.586594581604004 1.158386468887329
bigperiod_500000_26_230000.in 1.4914660453796387 3.593172073364258 1.2999684810638428
bigperiod_500000_4_350000.in 2.103386878967285 2.063231945037842 1.2113761901855469
bigperiod_500000_7_115000.in 1.4734814167022705 3.7758264541625977 1.2388691902160645
bigperiod_500000_7_86666.in 1.4179072380065918 3.5717155933380127 1.2096962928771973
bigperiod_500000_10_120000.in 1.4144272804260254 3.823065996170044 1.261336326599121
bigperiod_500000_10_313333.in 1.771118402481079 3.5858607292175293 1.24456787109375
bigperiod_500000_2_226666.in 2.4193644523620605 3.9076035022735596 1.221048355102539
bigperiod_500000_2_236666.in 2.5015008449554443 3.8732948303222656 1.222987413406372
bigperiod_500000_62_73333.in 1.0053431987762451 3.4458460807800293 1.2525033950805664
bigperiod_500000_10_135000.in 1.4424927234649658 3.81184983253479 1.2217371463775635
bigperiod_500000_26_106666.in 1.187659502029419 3.5990123748779297 1.268162488937378
bigperiod_500000_26_93333.in 1.1658573150634766 3.6626474857330322 1.2460503578186035
bigperiod_500000_4_40000.in 1.4641125202178955 3.506443738937378 1.2000861167907715
bigperiod_500000_2_225000.in 2.4307122230529785 3.88031268119812 1.2097203731536865
bigperiod_500000_10_25000.in 1.117187261581421 3.3217644691467285 1.1027894020080566
bigperiod_500000_4_395000.in 2.1712756156921387 2.0057787895202637 1.2055132389068604
bigperiod_500000_26_245000.in 1.5142626762390137 3.505695343017578 1.267946720123291
bigperiod_500000_62_56666.in 0.9691815376281738 3.5033397674560547 1.2712063789367676
bigperiod_500000_62_55000.in 0.9678153991699219 3.4924511909484863 1.2710113525390625
bigperiod_500000_10_395000.in 1.7877089977264404 1.8771963119506836 1.1933367252349854
bigperiod_500000_7_345000.in 1.8841354846954346 2.0094969272613525 1.2274761199951172
bigperiod_500000_7_20000.in 1.169074535369873 3.329813003540039 1.1382451057434082
bigperiod_500000_26_23333.in 0.9657862186431885 3.37457537651062 1.2108798027038574
bigperiod_500000_62_470000.in 1.518883228302002 1.748427152633667 1.2572579383850098
bigperiod_500000_7_80000.in 1.4343092441558838 3.6076908111572266 1.198331356048584
bigperiod_500000_2_216666.in 2.4430530071258545 3.8974344730377197 1.2091238498687744
bigperiod_500000_26_143333.in 1.2584490776062012 3.760509729385376 1.2405409812927246
bigperiod_500000_26_126666.in 1.251776933670044 3.820646047592163 1.2817175388336182
bigperiod_500000_62_335000.in 1.4451937675476074 1.8370137214660645 1.2546024322509766
bigperiod_500000_7_490000.in 1.9779109954833984 1.9101788997650146 1.2411894798278809
bigperiod_500000_62_140000.in 1.14680814743042 3.6609983444213867 1.2977490425109863
bigperiod_500000_62_333333.in 1.4681103229522705 2.226552963256836 1.2744865417480469
bigperiod_500000_62_405000.in 1.484828233718872 1.7712392807006836 1.2647154331207275
bigperiod_500000_26_246666.in 1.5070135593414307 3.4515717029571533 1.2787318229675293
bigperiod_500000_10_390000.in 1.7822389602661133 1.8891663551330566 1.2104318141937256
bigperiod_500000_4_165000.in 1.8209633827209473 3.7672548294067383 1.2332701683044434
bigperiod_500000_7_60000.in 1.3525638580322266 3.598832845687866 1.2258391380310059
bigperiod_500000_7_83333.in 1.4153573513031006 3.4853386878967285 1.2424046993255615
bigperiod_500000_10_245000.in 1.7376477718353271 3.576643228530884 1.2873265743255615
bigperiod_500000_4_163333.in 1.8366751670837402 3.861229658126831 1.2106072902679443
bigperiod_500000_62_390000.in 1.4508092403411865 1.796684741973877 1.2578299045562744
bigperiod_500000_10_263333.in 1.76273512840271 3.7695093154907227 1.213205337524414
bigperiod_500000_4_66666.in 1.5729310512542725 3.5591304302215576 1.222649097442627
bigperiod_500000_7_243333.in 1.8387465476989746 3.5406486988067627 1.2748141288757324
bigperiod_500000_2_240000.in 2.5783259868621826 3.7962214946746826 1.2316336631774902
bigperiod_500000_2_80000.in 1.9912009239196777 3.556972026824951 1.14729642868042
bigperiod_500000_2_360000.in 2.627044200897217 2.2513601779937744 1.2054717540740967
bigperiod_500000_4_290000.in 2.0911972522735596 3.7846810817718506 1.2462027072906494
bigperiod_500000_7_293333.in 1.8673763275146484 3.819021463394165 1.244676113128662
bigperiod_500000_10_133333.in 1.44309401512146 3.782644748687744 1.2476446628570557
bigperiod_500000_2_245000.in 2.546130418777466 3.7914302349090576 1.2135159969329834
bigperiod_500000_26_445000.in 1.602064847946167 1.7615721225738525 1.2222630977630615
bigperiod_500000_2_76666.in 2.0014231204986572 3.555816650390625 1.169058084487915
bigperiod_500000_62_170000.in 1.2166650295257568 3.1087090969085693 1.2908153533935547
bigperiod_500000_26_490000.in 1.6423759460449219 1.7148268222808838 1.2494099140167236
bigperiod_500000_7_70000.in 1.381483793258667 3.4052579402923584 1.229332685470581
bigperiod_500000_7_480000.in 1.9445886611938477 1.8406822681427002 1.2237672805786133
bigperiod_500000_10_400000.in 1.8011665344238281 1.886244773864746 1.2020790576934814
bigperiod_500000_4_185000.in 1.9104807376861572 3.293009042739868 1.2261981964111328
bigperiod_500000_2_435000.in 2.696790933609009 2.284993886947632 1.2060623168945312
bigperiod_500000_2_305000.in 2.4442148208618164 4.036860466003418 1.2189123630523682
bigperiod_500000_26_123333.in 1.2133193016052246 3.615412950515747 1.2282483577728271
bigperiod_500000_2_485000.in 2.7544424533843994 2.287062883377075 1.2200851440429688
